"","Player","Age","Tm","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","MVP","Year"
"891","Marc Gasol","30","MEM","0.0","3.0","1300","0.002","81","33.2","17.4","7.8","3.8","0.9","1.6",".494",".176",".795","10.2",".182",0,2015
"892","Blake Griffin","25","LAC","0.0","3.0","1300","0.002","67","35.2","21.9","7.6","5.3","0.9","0.5",".502",".400",".728","9.0",".183",0,2015
"893","Tim Duncan","38","SAS","0.0","1.0","1300","0.001","77","28.9","13.9","9.1","3.0","0.8","2.0",".512",".286",".740","9.6",".207",0,2015
"894","Kawhi Leonard","23","SAS","0.0","1.0","1300","0.001","64","31.8","16.5","7.2","2.5","2.3","0.8",".479",".349",".802","8.6",".204",0,2015
"895","Klay Thompson","24","GSW","0.0","1.0","1300","0.001","77","31.9","21.7","3.2","2.9","1.1","0.8",".463",".439",".879","8.8",".172",0,2015
"896","Stephen Curry","27","GSW","131.0","1310.0","1310","1.000","79","34.2","30.1","5.4","6.7","2.1","0.2",".504",".454",".908","17.9",".318",1,2016
"897","Kawhi Leonard","24","SAS","0.0","634.0","1310","0.484","72","33.1","21.2","6.8","2.6","1.8","1.0",".506",".443",".874","13.7",".277",0,2016
"898","LeBron James","31","CLE","0.0","631.0","1310","0.482","76","35.6","25.3","7.4","6.8","1.4","0.6",".520",".309",".731","13.6",".242",0,2016
"899","Russell Westbrook","27","OKC","0.0","486.0","1310","0.371","80","34.4","23.5","7.8","10.4","2.0","0.3",".454",".296",".812","14.0",".245",0,2016
"900","Kevin Durant","27","OKC","0.0","147.0","1310","0.112","72","35.8","28.2","8.2","5.0","1.0","1.2",".505",".387",".898","14.5",".270",0,2016
"901","Chris Paul","30","LAC","0.0","107.0","1310","0.082","74","32.7","19.5","4.2","10.0","2.1","0.2",".462",".371",".896","12.7",".253",0,2016
"902","Draymond Green","25","GSW","0.0","50.0","1310","0.038","81","34.7","14.0","9.5","7.4","1.5","1.4",".490",".388",".696","11.1",".190",0,2016
"903","Damian Lillard","25","POR","0.0","26.0","1310","0.020","75","35.7","25.1","4.0","6.8","0.9","0.4",".419",".375",".892","9.2",".165",0,2016
"904","James Harden","26","HOU","0.0","9.0","1310","0.007","82","38.1","29.0","6.1","7.5","1.7","0.6",".439",".359",".860","13.3",".204",0,2016
"905","Kyle Lowry","29","TOR","0.0","6.0","1310","0.005","77","37.0","21.2","4.7","6.4","2.1","0.4",".427",".388",".811","11.6",".196",0,2016
